phase,exposure_condition,batch_index,batch_size,start_example_index,end_example_index,elapsed_ms,gpu_synchronized_elapsed_ms
base_forward,base,109,16,1744,1759,137.40292598959059,134.37778898514807
base_forward,base,110,16,1760,1775,137.61650602100417,134.50864900369197
base_forward,base,111,16,1776,1791,137.52972602378577,134.43068001652136
base_forward,base,112,16,1792,1807,137.55329500418156,134.50109900441021
base_forward,base,113,16,1808,1823,137.43193697882816,134.3389599933289
base_forward,base,114,16,1824,1839,137.55595602560788,134.52525902539492
base_forward,base,115,16,1840,1855,137.6672750338912,134.64429799932986
base_forward,base,116,16,1856,1871,137.83706398680806,134.72751795779914
base_forward,base,117,16,1872,1887,137.69943499937654,134.68470802763477
base_forward,base,118,16,1888,1903,137.72768399212509,134.61566797923297
base_forward,base,119,16,1904,1919,137.5762460520491,134.58112900843844
base_forward,base,120,16,1920,1935,139.38759197480977,136.26489596208557
base_forward,base,121,16,1936,1951,139.32393200229853,136.25652500195429
base_forward,base,122,16,1952,1967,138.05774197680876,134.89193603163585
base_forward,base,123,16,1968,1983,138.11655197059736,135.07670495891944
base_forward,base,124,16,1984,1999,138.04789201822132,135.0317060132511
base_forward,base,125,16,2000,2015,138.0317920120433,134.87113703740761
base_forward,base,126,16,2016,2031,137.72744499146938,134.71677800407633
base_forward,base,127,16,2032,2047,137.93880300363526,134.8613869631663
base_forward,base,128,16,2048,2063,137.79751397669315,134.72137798089534
base_forward,base,129,16,2064,2079,138.06195196229964,135.00186504097655
base_forward,base,130,16,2080,2095,137.82053400063887,134.80348698794842
base_forward,base,131,16,2096,2111,137.97781296307221,134.89447702886537
base_forward,base,132,16,2112,2127,138.0090219900012,134.86763701075688
base_forward,base,133,16,2128,2143,138.09342199238017,135.01647597877309
base_forward,base,134,16,2144,2159,137.90329301264137,134.89336596103385
base_forward,base,135,16,2160,2175,138.02013196982443,135.01258502947167
base_forward,base,136,16,2176,2191,138.13734200084582,135.1284550037235
base_forward,base,137,16,2192,2207,138.08429200435057,135.00564597779885
base_forward,base,138,16,2208,2223,138.22310999967158,135.08512399857864
base_forward,base,139,16,2224,2239,135.81019995035604,132.8465020051226
base_forward,base,140,16,2240,2255,138.11799098039046,135.09997498476878
base_forward,base,141,16,2256,2271,138.24703102000058,135.12514502508566
base_forward,base,142,16,2272,2287,137.95252301497385,134.91580600384623
base_forward,base,143,16,2288,2303,138.06558196665719,134.99710598262027
base_forward,base,144,16,2304,2319,138.03356199059635,135.01400494715199
base_forward,base,145,16,2320,2335,138.0970420432277,135.02555497689173
base_forward,base,146,16,2336,2351,138.16981099080294,135.1235740003176
base_forward,base,147,16,2352,2367,138.18376197014004,135.14341501286253
base_forward,base,148,16,2368,2383,138.03521200316027,135.01183595508337
base_forward,base,149,16,2384,2399,138.18058097967878,135.10248501552269
base_forward,base,150,16,2400,2415,138.14249099232256,135.13418397633359
