message_id,encryption_ms,scoring_ms,decryption_ms,end_to_end_ms
stage3_allow_transaction_scoring_c20_v03,4.5656400034204125,26.663695985917002,2.6881059748120606,34.181538969278336
stage3_allow_transaction_scoring_c20_v04,4.5732600265182555,26.264819025527686,2.7254059677943587,33.826751983724535
stage3_allow_transaction_scoring_c20_v05,4.580720036756247,28.09706301195547,2.559828048106283,35.49683804158121
stage3_allow_transaction_scoring_c20_v06,4.607199982274324,26.19989903178066,2.6655570254661143,33.743312989827245
stage3_allow_transaction_scoring_c20_v07,4.597650025971234,26.456787018105388,2.6942870463244617,34.01813097298145
stage3_allow_transaction_scoring_c20_v08,4.603070032317191,26.42058697529137,2.9695339617319405,34.25201901700348
stage3_allow_transaction_scoring_c20_v09,4.5910500339232385,26.123329997062683,2.705105987843126,33.6898640380241
stage3_allow_transaction_scoring_c20_v10,4.595009027980268,26.14795003319159,2.74724600603804,33.76259299693629
stage3_allow_routing_recommendation_c18_v01,4.563369031529874,26.337718998547643,2.7772250468842685,33.94128102809191
stage3_allow_routing_recommendation_c18_v02,4.581729997880757,26.199558982625604,2.615836972836405,33.660984016023576
stage3_allow_routing_recommendation_c18_v03,4.657849029172212,26.18990995688364,2.637176017742604,33.75167300691828
stage3_allow_routing_recommendation_c18_v04,5.17156400019303,26.142751041334122,2.4727180134505033,34.026801004074514
stage3_allow_routing_recommendation_c18_v05,4.591728968080133,26.14403999177739,2.541437977924943,33.49682502448559
stage3_allow_routing_recommendation_c18_v06,4.607449052855372,26.15108003374189,2.794996020384133,33.805123006459326
stage3_allow_routing_recommendation_c18_v07,4.607718961779028,26.109291007742286,2.685215964447707,33.63798401551321
stage3_allow_routing_recommendation_c18_v08,4.597989027388394,26.12072101328522,2.603266970254481,33.54138502618298
stage3_allow_routing_recommendation_c18_v09,4.637129022739828,26.366317993961275,2.5892570265568793,33.82664202945307
stage3_allow_routing_recommendation_c18_v10,4.629819944966584,26.206818991340697,2.7005559531971812,33.712363976519555
stage3_allow_routing_recommendation_c19_v01,4.583940026350319,26.236199017148465,2.71138601237908,33.71020301710814
stage3_allow_routing_recommendation_c19_v02,4.609960014931858,26.078829949256033,2.6850569993257523,33.54975499678403
stage3_allow_routing_recommendation_c19_v03,4.592439974658191,26.195770013146102,2.723715966567397,33.689154020976275
stage3_allow_routing_recommendation_c19_v04,4.58609004272148,26.34686802048236,2.7117060380987823,33.81941298721358
stage3_allow_routing_recommendation_c19_v05,4.570668970700353,26.50958701269701,2.7034960221499205,33.95877103321254
stage3_allow_routing_recommendation_c19_v06,4.564550006762147,26.329098036512733,2.9949540039524436,34.10710004391149
stage3_allow_routing_recommendation_c19_v07,4.599739972036332,26.335748028941453,3.1844520126469433,34.29439902538434
