phase,exposure_condition,batch_index,batch_size,start_example_index,end_example_index,elapsed_ms,gpu_synchronized_elapsed_ms
adapter_forward,1x,101,16,1616,1631,238.43447101535276,235.2943749865517
adapter_forward,1x,102,16,1632,1647,238.43524098629132,235.33350398065522
adapter_forward,1x,103,16,1648,1663,238.33844199543819,235.26504496112466
adapter_forward,1x,104,16,1664,1679,238.39870101073757,235.31279503367841
adapter_forward,1x,105,16,1680,1695,238.36324195144698,235.24871602421626
adapter_forward,1x,106,16,1696,1711,238.34210197674111,235.29118503211066
adapter_forward,1x,107,16,1712,1727,238.33948199171573,235.27072498109192
adapter_forward,1x,108,16,1728,1743,238.36542200297117,235.2820549858734
adapter_forward,1x,109,16,1744,1759,238.46374097047374,235.40819401387125
adapter_forward,1x,110,16,1760,1775,238.57257002964616,235.44803401455283
adapter_forward,1x,111,16,1776,1791,238.47258102614433,235.37162499269471
adapter_forward,1x,112,16,1792,1807,238.78021899145097,235.72183103533462
adapter_forward,1x,113,16,1808,1823,238.56021097162738,235.47539400169626
adapter_forward,1x,114,16,1824,1839,238.56371996225789,235.43918400537223
adapter_forward,1x,115,16,1840,1855,238.72191901318729,235.65760301426053
adapter_forward,1x,116,16,1856,1871,238.70758898556232,235.54611403960735
adapter_forward,1x,117,16,1872,1887,238.74731897376478,235.57953297859058
adapter_forward,1x,118,16,1888,1903,238.64569899160415,235.51195301115513
adapter_forward,1x,119,16,1904,1919,238.63638000329956,235.50463403807953
adapter_forward,1x,120,16,1920,1935,242.02271399553865,238.85041801258922
adapter_forward,1x,121,16,1936,1951,241.95193505147472,238.84839896345511
adapter_forward,1x,122,16,1952,1967,238.89861803036183,235.81504100002348
adapter_forward,1x,123,16,1968,1983,238.86161798145622,235.77927105361596
adapter_forward,1x,124,16,1984,1999,238.74157998943701,235.58864300139248
adapter_forward,1x,125,16,2000,2015,238.74335002619773,235.58531299931929
adapter_forward,1x,126,16,2016,2031,238.570420013275,235.49565399298444
adapter_forward,1x,127,16,2032,2047,238.80909901345149,235.75123201590031
adapter_forward,1x,128,16,2048,2063,238.84716903558001,235.75876199174672
adapter_forward,1x,129,16,2064,2079,238.86675800895318,235.80539104295895
