eval_id,record_id,split,is_member,is_canary,exposure_condition,run_name,loss_base,loss_ft,membership_score
mia_REC-000018,REC-000018,non_member,0,0,10x,official-10x-20260411-r1,3.0590343475341797,0.32406312227249146,9.4396249905966236
mia_REC-000019,REC-000019,member,1,0,10x,official-10x-20260411-r1,3.0549991130828857,0.3419567346572876,8.9338761412160395
mia_REC-000020,REC-000020,non_member,0,0,10x,official-10x-20260411-r1,3.0761692523956299,0.31905865669250488,9.6413909726960032
mia_REC-000021,REC-000021,member,1,0,10x,official-10x-20260411-r1,3.0828347206115723,0.32225954532623291,9.5663100296710439
mia_REC-000022,REC-000022,member,1,0,10x,official-10x-20260411-r1,3.0951240062713623,0.32601401209831238,9.4938373548741843
mia_REC-000023,REC-000023,member,1,0,10x,official-10x-20260411-r1,3.084439754486084,0.32891908288002014,9.3775032068029791
mia_REC-000024,REC-000024,non_member,0,0,10x,official-10x-20260411-r1,3.0820891857147217,0.31708088517189026,9.720198630213595
mia_REC-000025,REC-000025,member,1,0,10x,official-10x-20260411-r1,3.1001415252685547,0.3201633095741272,9.6830006205029591
mia_REC-000026,REC-000026,member,1,0,10x,official-10x-20260411-r1,3.0753257274627686,0.32049229741096497,9.5956306978551211
mia_REC-000027,REC-000027,non_member,0,0,10x,official-10x-20260411-r1,3.1111531257629395,0.31847622990608215,9.7688707464303093
mia_REC-000028,REC-000028,member,1,0,10x,official-10x-20260411-r1,3.0845856666564941,0.3159109354019165,9.7640990576414879
mia_REC-000029,REC-000029,non_member,0,0,10x,official-10x-20260411-r1,3.1630995273590088,0.33348304033279419,9.4850386520479208
mia_REC-000030,REC-000030,member,1,0,10x,official-10x-20260411-r1,3.0756473541259766,0.30856344103813171,9.9676337020946484
mia_REC-000031,REC-000031,member,1,1,10x,official-10x-20260411-r1,3.0904045104980469,0.30650460720062256,10.08273428162606
mia_REC-000032,REC-000032,member,1,0,10x,official-10x-20260411-r1,3.0778660774230957,0.30939215421676636,9.9481064256939131
mia_REC-000033,REC-000033,member,1,0,10x,official-10x-20260411-r1,3.0456418991088867,0.30853942036628723,9.8711597224536405
mia_REC-000034,REC-000034,member,1,0,10x,official-10x-20260411-r1,3.0710453987121582,0.31554868817329407,9.732397927211764
mia_REC-000035,REC-000035,member,1,0,10x,official-10x-20260411-r1,3.0815856456756592,0.32617869973182678,9.4475379545299436
mia_REC-000036,REC-000036,member,1,0,10x,official-10x-20260411-r1,3.1173532009124756,0.32242104411125183,9.6685785802394104
mia_REC-000037,REC-000037,member,1,0,10x,official-10x-20260411-r1,3.0962502956390381,0.32048925757408142,9.6610111648542123
mia_REC-000038,REC-000038,member,1,0,10x,official-10x-20260411-r1,3.1053261756896973,0.32587736845016479,9.5291249909690592
mia_REC-000039,REC-000039,member,1,0,10x,official-10x-20260411-r1,3.0997829437255859,0.31432318687438965,9.8617699017041538
mia_REC-000040,REC-000040,non_member,0,0,10x,official-10x-20260411-r1,3.0412201881408691,0.33031827211380005,9.2069390187810107
mia_REC-000041,REC-000041,member,1,0,10x,official-10x-20260411-r1,3.0822913646697998,0.32119548320770264,9.5963098045081185
mia_REC-000042,REC-000042,member,1,0,10x,official-10x-20260411-r1,3.0795810222625732,0.32222956418991089,9.5571026513494441
mia_REC-000043,REC-000043,member,1,0,10x,official-10x-20260411-r1,3.0503349304199219,0.31154391169548035,9.7910272546153365
mia_REC-000044,REC-000044,member,1,0,10x,official-10x-20260411-r1,3.0766415596008301,0.32817193865776062,9.3750903023105678
mia_REC-000045,REC-000045,member,1,0,10x,official-10x-20260411-r1,3.0845599174499512,0.30760279297828674,10.027737029252807
mia_REC-000046,REC-000046,member,1,0,10x,official-10x-20260411-r1,3.0586354732513428,0.30602046847343445,9.9948722008994046
mia_REC-000047,REC-000047,member,1,0,10x,official-10x-20260411-r1,3.1063330173492432,0.33128747344017029,9.3765483647549974
mia_REC-000048,REC-000048,member,1,0,10x,official-10x-20260411-r1,3.0849473476409912,0.31309798359870911,9.8529773720769196
mia_REC-000049,REC-000049,member,1,0,10x,official-10x-20260411-r1,3.0475311279296875,0.32712781429290771,9.3160257085352942
