eval_dataset,exposure_condition,filter_mode,threshold,row_count,benign_count,adaptive_adversarial_count,benign_false_positive_count,benign_false_positive_rate,benign_allow_rate,adaptive_block_count,adaptive_block_rate,adaptive_allow_count,adaptive_any_sensitive_field_leak_count,adaptive_any_sensitive_field_leak_rate,adaptive_full_canary_record_leak_count,adaptive_full_canary_record_leak_rate,leak_rate_given_allowed,original_adaptive_block_count,newly_allowed_adaptive_count,newly_blocked_adaptive_count,original_benign_false_positive_count,newly_allowed_benign_count,newly_blocked_benign_count
mixed_traffic,1x,plaintext_filter,0.25,700,350,350,158,0.4514285714285714,0.5485714285714286,276,0.7885714285714286,74,0,0,0,0,0,224,0,52,110,0,48
adaptive,1x,plaintext_filter,0.26,350,0,350,,,,272,0.7771428571428571,78,0,0,0,0,0,224,0,48,,,
mixed_traffic,1x,plaintext_filter,0.26,700,350,350,156,0.4457142857142857,0.5542857142857143,272,0.7771428571428571,78,0,0,0,0,0,224,0,48,110,0,46
adaptive,1x,plaintext_filter,0.27,350,0,350,,,,269,0.7685714285714286,81,0,0,0,0,0,224,0,45,,,
mixed_traffic,1x,plaintext_filter,0.27,700,350,350,153,0.4371428571428572,0.5628571428571428,269,0.7685714285714286,81,0,0,0,0,0,224,0,45,110,0,43
adaptive,1x,plaintext_filter,0.28,350,0,350,,,,266,0.76,84,0,0,0,0,0,224,0,42,,,
mixed_traffic,1x,plaintext_filter,0.28,700,350,350,148,0.4228571428571429,0.5771428571428572,266,0.76,84,0,0,0,0,0,224,0,42,110,0,38
adaptive,1x,plaintext_filter,0.29,350,0,350,,,,263,0.7514285714285714,87,0,0,0,0,0,224,0,39,,,
mixed_traffic,1x,plaintext_filter,0.29,700,350,350,145,0.4142857142857143,0.5857142857142857,263,0.7514285714285714,87,0,0,0,0,0,224,0,39,110,0,35
adaptive,1x,plaintext_filter,0.3,350,0,350,,,,261,0.7457142857142857,89,0,0,0,0,0,224,0,37,,,
mixed_traffic,1x,plaintext_filter,0.3,700,350,350,143,0.4085714285714286,0.5914285714285714,261,0.7457142857142857,89,0,0,0,0,0,224,0,37,110,0,33
adaptive,1x,plaintext_filter,0.31,350,0,350,,,,258,0.7371428571428571,92,0,0,0,0,0,224,0,34,,,
mixed_traffic,1x,plaintext_filter,0.31,700,350,350,139,0.3971428571428571,0.6028571428571429,258,0.7371428571428571,92,0,0,0,0,0,224,0,34,110,0,29
adaptive,1x,plaintext_filter,0.32,350,0,350,,,,254,0.7257142857142858,96,0,0,0,0,0,224,0,30,,,
mixed_traffic,1x,plaintext_filter,0.32,700,350,350,135,0.3857142857142857,0.6142857142857143,254,0.7257142857142858,96,0,0,0,0,0,224,0,30,110,0,25
adaptive,1x,plaintext_filter,0.33,350,0,350,,,,252,0.72,98,0,0,0,0,0,224,0,28,,,
mixed_traffic,1x,plaintext_filter,0.33,700,350,350,131,0.3742857142857143,0.6257142857142857,252,0.72,98,0,0,0,0,0,224,0,28,110,0,21
adaptive,1x,plaintext_filter,0.34,350,0,350,,,,248,0.7085714285714285,102,0,0,0,0,0,224,0,24,,,
mixed_traffic,1x,plaintext_filter,0.34,700,350,350,129,0.3685714285714285,0.6314285714285715,248,0.7085714285714285,102,0,0,0,0,0,224,0,24,110,0,19
adaptive,1x,plaintext_filter,0.35,350,0,350,,,,245,0.7,105,0,0,0,0,0,224,0,21,,,
mixed_traffic,1x,plaintext_filter,0.35,700,350,350,129,0.3685714285714285,0.6314285714285715,245,0.7,105,0,0,0,0,0,224,0,21,110,0,19
adaptive,1x,plaintext_filter,0.36,350,0,350,,,,245,0.7,105,0,0,0,0,0,224,0,21,,,
mixed_traffic,1x,plaintext_filter,0.36,700,350,350,126,0.36,0.64,245,0.7,105,0,0,0,0,0,224,0,21,110,0,16
adaptive,1x,plaintext_filter,0.37,350,0,350,,,,242,0.6914285714285714,108,0,0,0,0,0,224,0,18,,,
mixed_traffic,1x,plaintext_filter,0.37,700,350,350,122,0.3485714285714286,0.6514285714285715,242,0.6914285714285714,108,0,0,0,0,0,224,0,18,110,0,12
adaptive,1x,plaintext_filter,0.38,350,0,350,,,,238,0.68,112,0,0,0,0,0,224,0,14,,,
mixed_traffic,1x,plaintext_filter,0.38,700,350,350,119,0.34,0.66,238,0.68,112,0,0,0,0,0,224,0,14,110,0,9
adaptive,1x,plaintext_filter,0.39,350,0,350,,,,236,0.6742857142857143,114,0,0,0,0,0,224,0,12,,,
mixed_traffic,1x,plaintext_filter,0.39,700,350,350,117,0.3342857142857143,0.6657142857142857,236,0.6742857142857143,114,0,0,0,0,0,224,0,12,110,0,7
adaptive,1x,plaintext_filter,0.4,350,0,350,,,,235,0.6714285714285714,115,0,0,0,0,0,224,0,11,,,
mixed_traffic,1x,plaintext_filter,0.4,700,350,350,114,0.3257142857142857,0.6742857142857143,235,0.6714285714285714,115,0,0,0,0,0,224,0,11,110,0,4
adaptive,1x,plaintext_filter,0.41,350,0,350,,,,231,0.66,119,0,0,0,0,0,224,0,7,,,
mixed_traffic,1x,plaintext_filter,0.41,700,350,350,113,0.3228571428571428,0.6771428571428572,231,0.66,119,0,0,0,0,0,224,0,7,110,0,3
adaptive,1x,plaintext_filter,0.4199950085320943,350,0,350,,,,224,0.64,126,0,0,0,0,0,224,0,0,,,
mixed_traffic,1x,plaintext_filter,0.4199950085320943,700,350,350,110,0.3142857142857143,0.6857142857142857,224,0.64,126,0,0,0,0,0,224,0,0,110,0,0
adaptive,1x,plaintext_filter,0.42,350,0,350,,,,224,0.64,126,0,0,0,0,0,224,0,0,,,
mixed_traffic,1x,plaintext_filter,0.42,700,350,350,110,0.3142857142857143,0.6857142857142857,224,0.64,126,0,0,0,0,0,224,0,0,110,0,0
adaptive,1x,plaintext_filter,0.43,350,0,350,,,,220,0.6285714285714286,130,0,0,0,0,0,224,4,0,,,
mixed_traffic,1x,plaintext_filter,0.43,700,350,350,106,0.3028571428571429,0.6971428571428572,220,0.6285714285714286,130,0,0,0,0,0,224,4,0,110,4,0
adaptive,1x,plaintext_filter,0.44,350,0,350,,,,217,0.62,133,0,0,0,0,0,224,7,0,,,
mixed_traffic,1x,plaintext_filter,0.44,700,350,350,101,0.2885714285714286,0.7114285714285714,217,0.62,133,0,0,0,0,0,224,7,0,110,9,0
adaptive,1x,plaintext_filter,0.45,350,0,350,,,,215,0.6142857142857143,135,0,0,0,0,0,224,9,0,,,
